"Tumor_Sample_Barcode" "type"
"TCGA-MU-A8JM-01" "TCGA-MU-A8JM" "Tumor"
"TCGA-4J-AA1J-01" "TCGA-4J-AA1J" "Tumor"
"TCGA-FU-A770-01" "TCGA-FU-A770" "Tumor"
"TCGA-HG-A2PA-01" "TCGA-HG-A2PA" "Tumor"
"TCGA-FU-A3TQ-01" "TCGA-FU-A3TQ" "Tumor"
"TCGA-JW-A5VK-01" "TCGA-JW-A5VK" "Tumor"
"TCGA-VS-A954-01" "TCGA-VS-A954" "Tumor"
"TCGA-ZJ-AAXI-01" "TCGA-ZJ-AAXI" "Tumor"
"TCGA-VS-AA62-01" "TCGA-VS-AA62" "Tumor"
"TCGA-C5-A1ML-01" "TCGA-C5-A1ML" "Tumor"
"TCGA-LP-A7HU-01" "TCGA-LP-A7HU" "Tumor"
"TCGA-C5-A2LT-01" "TCGA-C5-A2LT" "Tumor"
"TCGA-MA-AA3X-01" "TCGA-MA-AA3X" "Tumor"
"TCGA-C5-A7XC-01" "TCGA-C5-A7XC" "Tumor"
"TCGA-VS-A94Y-01" "TCGA-VS-A94Y" "Tumor"
"TCGA-C5-A1BQ-01" "TCGA-C5-A1BQ" "Tumor"
"TCGA-DS-A5RQ-01" "TCGA-DS-A5RQ" "Tumor"
"TCGA-HM-A3JJ-01" "TCGA-HM-A3JJ" "Tumor"
"TCGA-JW-A5VH-01" "TCGA-JW-A5VH" "Tumor"
"TCGA-C5-A8XJ-01" "TCGA-C5-A8XJ" "Tumor"
"TCGA-C5-A0TN-01" "TCGA-C5-A0TN" "Tumor"
"TCGA-EX-A1H6-01" "TCGA-EX-A1H6" "Tumor"
"TCGA-C5-A1MQ-01" "TCGA-C5-A1MQ" "Tumor"
"TCGA-ZJ-A8QQ-01" "TCGA-ZJ-A8QQ" "Tumor"
"TCGA-EA-A410-01" "TCGA-EA-A410" "Tumor"
"TCGA-C5-A3HE-01" "TCGA-C5-A3HE" "Tumor"
"TCGA-C5-A1M5-01" "TCGA-C5-A1M5" "Tumor"
"TCGA-VS-A94W-01" "TCGA-VS-A94W" "Tumor"
"TCGA-C5-A902-01" "TCGA-C5-A902" "Tumor"
"TCGA-MU-A5YI-01" "TCGA-MU-A5YI" "Tumor"
"TCGA-FU-A5XV-01" "TCGA-FU-A5XV" "Tumor"
"TCGA-FU-A3HY-01" "TCGA-FU-A3HY" "Tumor"
"TCGA-FU-A3WB-01" "TCGA-FU-A3WB" "Tumor"
"TCGA-VS-A959-01" "TCGA-VS-A959" "Tumor"
"TCGA-EA-A5ZE-01" "TCGA-EA-A5ZE" "Tumor"
"TCGA-VS-A9U5-01" "TCGA-VS-A9U5" "Tumor"
"TCGA-C5-A1BE-01" "TCGA-C5-A1BE" "Tumor"
"TCGA-DS-A1OD-01" "TCGA-DS-A1OD" "Tumor"
"TCGA-C5-A2LZ-01" "TCGA-C5-A2LZ" "Tumor"
"TCGA-VS-A9UY-01" "TCGA-VS-A9UY" "Tumor"
"TCGA-C5-A7X8-01" "TCGA-C5-A7X8" "Tumor"
"TCGA-VS-A8QA-01" "TCGA-VS-A8QA" "Tumor"
"TCGA-VS-A9UH-01" "TCGA-VS-A9UH" "Tumor"
"TCGA-C5-A1BM-01" "TCGA-C5-A1BM" "Tumor"
"TCGA-C5-A7X3-01" "TCGA-C5-A7X3" "Tumor"
"TCGA-UC-A7PI-01" "TCGA-UC-A7PI" "Tumor"
"TCGA-FU-A57G-01" "TCGA-FU-A57G" "Tumor"
"TCGA-C5-A1BJ-01" "TCGA-C5-A1BJ" "Tumor"
"TCGA-C5-A8YT-01" "TCGA-C5-A8YT" "Tumor"
"TCGA-EA-A3HQ-01" "TCGA-EA-A3HQ" "Tumor"
"TCGA-BI-A0VR-01" "TCGA-BI-A0VR" "Tumor"
"TCGA-C5-A3HF-01" "TCGA-C5-A3HF" "Tumor"
"TCGA-C5-A905-01" "TCGA-C5-A905" "Tumor"
"TCGA-VS-A8EJ-01" "TCGA-VS-A8EJ" "Tumor"
"TCGA-EA-A1QS-01" "TCGA-EA-A1QS" "Tumor"
"TCGA-JW-A5VG-01" "TCGA-JW-A5VG" "Tumor"
"TCGA-DG-A2KM-01" "TCGA-DG-A2KM" "Tumor"
"TCGA-EX-A1H5-01" "TCGA-EX-A1H5" "Tumor"
"TCGA-DS-A3LQ-01" "TCGA-DS-A3LQ" "Tumor"
"TCGA-VS-A9UC-01" "TCGA-VS-A9UC" "Tumor"
"TCGA-C5-A8YR-01" "TCGA-C5-A8YR" "Tumor"
"TCGA-PN-A8MA-01" "TCGA-PN-A8MA" "Tumor"
"TCGA-C5-A1M8-01" "TCGA-C5-A1M8" "Tumor"
"TCGA-EX-A69L-01" "TCGA-EX-A69L" "Tumor"
"TCGA-C5-A1M7-01" "TCGA-C5-A1M7" "Tumor"
"TCGA-VS-A9V5-01" "TCGA-VS-A9V5" "Tumor"
"TCGA-EK-A2PI-01" "TCGA-EK-A2PI" "Tumor"
"TCGA-IR-A3LH-01" "TCGA-IR-A3LH" "Tumor"
"TCGA-C5-A2LV-01" "TCGA-C5-A2LV" "Tumor"
"TCGA-ZX-AA5X-01" "TCGA-ZX-AA5X" "Tumor"
"TCGA-FU-A3HZ-01" "TCGA-FU-A3HZ" "Tumor"
"TCGA-VS-A9V0-01" "TCGA-VS-A9V0" "Tumor"
"TCGA-C5-A1M6-01" "TCGA-C5-A1M6" "Tumor"
"TCGA-C5-A1MN-01" "TCGA-C5-A1MN" "Tumor"
"TCGA-EA-A556-01" "TCGA-EA-A556" "Tumor"
"TCGA-C5-A8XK-01" "TCGA-C5-A8XK" "Tumor"
"TCGA-MU-A51Y-01" "TCGA-MU-A51Y" "Tumor"
"TCGA-DS-A7WI-01" "TCGA-DS-A7WI" "Tumor"
"TCGA-EK-A3GM-01" "TCGA-EK-A3GM" "Tumor"
"TCGA-EK-A2R9-01" "TCGA-EK-A2R9" "Tumor"
"TCGA-JX-A3PZ-01" "TCGA-JX-A3PZ" "Tumor"
"TCGA-VS-A9V1-01" "TCGA-VS-A9V1" "Tumor"
"TCGA-VS-A9UD-01" "TCGA-VS-A9UD" "Tumor"
"TCGA-C5-A3HD-01" "TCGA-C5-A3HD" "Tumor"
"TCGA-GH-A9DA-01" "TCGA-GH-A9DA" "Tumor"
"TCGA-C5-A2M2-01" "TCGA-C5-A2M2" "Tumor"
"TCGA-MY-A913-01" "TCGA-MY-A913" "Tumor"
"TCGA-DR-A0ZM-01" "TCGA-DR-A0ZM" "Tumor"
"TCGA-C5-A1BN-01" "TCGA-C5-A1BN" "Tumor"
"TCGA-EA-A5ZF-01" "TCGA-EA-A5ZF" "Tumor"
"TCGA-LP-A5U2-01" "TCGA-LP-A5U2" "Tumor"
"TCGA-VS-A9UQ-01" "TCGA-VS-A9UQ" "Tumor"
"TCGA-JW-A69B-01" "TCGA-JW-A69B" "Tumor"
"TCGA-LP-A4AV-01" "TCGA-LP-A4AV" "Tumor"
"TCGA-Q1-A6DW-01" "TCGA-Q1-A6DW" "Tumor"
"TCGA-UC-A7PD-01" "TCGA-UC-A7PD" "Tumor"
"TCGA-DS-A1OB-01" "TCGA-DS-A1OB" "Tumor"
"TCGA-Q1-A5R3-01" "TCGA-Q1-A5R3" "Tumor"
"TCGA-EA-A43B-01" "TCGA-EA-A43B" "Tumor"
