"","dynamicColors","mergedColors"
"S100A14","green","green"
"S100A16","green","green"
"S100A2","green","green"
"S100A3","yellow","black"
"S100A4","turquoise","greenyellow"
"S100A5","black","black"
"S100A6","blue","blue"
"S100A7","green","green"
"S100A7A","green","green"
"S100A8","green","green"
"S100A9","green","green"
"S100B","blue","blue"
"S100P","yellow","black"
"S100PBP","turquoise","greenyellow"
"S1PR1","brown","brown"
"S1PR2","black","black"
"S1PR3","brown","brown"
"S1PR4","blue","blue"
"S1PR5","green","green"
"SAA1","turquoise","greenyellow"
"SAA2","turquoise","greenyellow"
"SAA4","turquoise","greenyellow"
"SAAL1","red","red"
"SAC3D1","red","red"
"SACM1L","magenta","magenta"
"SACS","turquoise","greenyellow"
"SAE1","lightcyan","lightcyan"
"SAFB","midnightblue","midnightblue"
"SAFB2","midnightblue","midnightblue"
"SALL1","brown","brown"
"SALL2","brown","brown"
"SALL4","turquoise","greenyellow"
"SAMD1","midnightblue","midnightblue"
"SAMD10","black","black"
"SAMD11","brown","brown"
"SAMD12","turquoise","greenyellow"
"SAMD13","yellow","black"
"SAMD4A","brown","brown"
"SAMD4B","lightcyan","lightcyan"
"SAMD5","brown","brown"
"SAMD8","turquoise","greenyellow"
"SAMD9","green","green"
"SAMD9L","blue","blue"
"SAMHD1","blue","blue"
"SAMM50","turquoise","greenyellow"
"SAMSN1","blue","blue"
"SAP130","turquoise","greenyellow"
"SAP18","turquoise","greenyellow"
"SAP30","turquoise","greenyellow"
"SAP30BP","purple","greenyellow"
"SAP30L","greenyellow","greenyellow"
"SAR1A","turquoise","greenyellow"
"SAR1B","greenyellow","greenyellow"
"SARDH","blue","blue"
"SARM1","black","black"
"SARS2","lightcyan","lightcyan"
"SART1","red","red"
"SART3","turquoise","greenyellow"
"SASH1","turquoise","greenyellow"
"SASH3","blue","blue"
"SASS6","turquoise","greenyellow"
"SAT1","grey","grey"
"SAT2","green","green"
"SATB1","turquoise","greenyellow"
"SATB2","turquoise","greenyellow"
"SAV1","turquoise","greenyellow"
"SBDS","salmon","green"
"SBF1","turquoise","greenyellow"
"SBF2","turquoise","greenyellow"
"SBK1","black","black"
"SBNO1","turquoise","greenyellow"
"SBNO2","turquoise","greenyellow"
"SBSN","green","green"
"SCAF1","lightcyan","lightcyan"
"SCAMP1","greenyellow","greenyellow"
"SCAMP2","turquoise","greenyellow"
"SCAMP3","cyan","cyan"
"SCAMP4","midnightblue","midnightblue"
"SCAMP5","turquoise","greenyellow"
"SCAND1","red","red"
"SCAP","magenta","magenta"
"SCAPER","turquoise","greenyellow"
"SCARA3","turquoise","greenyellow"
"SCARB1","green","green"
"SCARB2","turquoise","greenyellow"
"SCARF1","brown","brown"
"SCARF2","brown","brown"
"SCCPDH","black","black"
"SCD","turquoise","greenyellow"
"SCD5","turquoise","greenyellow"
"SCEL","green","green"
"SCFD1","turquoise","greenyellow"
"SCFD2","turquoise","greenyellow"
"SCG5","brown","brown"
"SCGB1A1","turquoise","greenyellow"
"SCGB2A1","yellow","black"
"SCGB3A1","yellow","black"
"SCIN","yellow","black"
"SCLT1","turquoise","greenyellow"
"SCMH1","turquoise","greenyellow"
"SCML1","turquoise","greenyellow"
"SCML2","turquoise","greenyellow"
"SCML4","blue","blue"
"SCN1B","brown","brown"
"SCN4B","turquoise","greenyellow"
"SCN8A","turquoise","greenyellow"
"SCNM1","turquoise","greenyellow"
"SCNN1A","yellow","black"
"SCNN1B","pink","pink"
"SCNN1D","grey","grey"
"SCNN1G","turquoise","greenyellow"
"SCO1","grey60","grey60"
"SCO2","blue","blue"
"SCOC","lightyellow","greenyellow"
"SCP2","turquoise","greenyellow"
"SCPEP1","pink","pink"
"SCRIB","turquoise","greenyellow"
"SCRN1","turquoise","greenyellow"
"SCRN2","black","black"
"SCRN3","turquoise","greenyellow"
"SCT","turquoise","greenyellow"
"SCUBE2","brown","brown"
"SCUBE3","purple","greenyellow"
"SCYL1","red","red"
"SCYL2","turquoise","greenyellow"
"SCYL3","cyan","cyan"
"SDAD1","turquoise","greenyellow"
"SDC1","green","green"
"SDC2","brown","brown"
"SDC3","turquoise","greenyellow"
"SDC4","turquoise","greenyellow"
"SDCBP","turquoise","greenyellow"
"SDCBP2","green","green"
"SDCCAG8","cyan","cyan"
"SDF2L1","yellow","black"
"SDF4","turquoise","greenyellow"
"SDHA","turquoise","greenyellow"
"SDHAF1","lightcyan","lightcyan"
"SDHB","greenyellow","greenyellow"
"SDHC","cyan","cyan"
"SDHD","lightgreen","lightgreen"
"SDK1","purple","greenyellow"
"SDK2","brown","brown"
"SDR16C5","green","green"
"SDR39U1","turquoise","greenyellow"
"SDR42E1","turquoise","greenyellow"
"SDR9C7","green","green"
"SDS","blue","blue"
"SDSL","yellow","black"
"SEC11A","turquoise","greenyellow"
"SEC11C","blue","blue"
"SEC13","magenta","magenta"
"SEC14L1","turquoise","greenyellow"
"SEC14L2","salmon","green"
"SEC16A","turquoise","greenyellow"
"SEC22A","pink","pink"
"SEC22B","turquoise","greenyellow"
"SEC22C","magenta","magenta"
"SEC23A","turquoise","greenyellow"
"SEC23B","turquoise","greenyellow"
"SEC23IP","turquoise","greenyellow"
"SEC24A","greenyellow","greenyellow"
"SEC24B","turquoise","greenyellow"
"SEC24C","turquoise","greenyellow"
"SEC24D","turquoise","greenyellow"
"SEC31A","turquoise","greenyellow"
"SEC31B","greenyellow","greenyellow"
"SEC61A1","pink","pink"
"SEC61A2","turquoise","greenyellow"
"SEC61B","turquoise","greenyellow"
"SEC61G","red","red"
"SEC62","pink","pink"
"SEC63","purple","greenyellow"
"SECISBP2","turquoise","greenyellow"
"SECISBP2L","turquoise","greenyellow"
"SECTM1","blue","blue"
"SEH1L","turquoise","greenyellow"
"SEL1L","turquoise","greenyellow"
"SEL1L3","yellow","black"
"SELE","brown","brown"
"SELENBP1","yellow","black"
"SELL","blue","blue"
"SELP","brown","brown"
"SELPLG","blue","blue"
"SEMA3A","yellow","black"
"SEMA3B","yellow","black"
"SEMA3C","turquoise","greenyellow"
"SEMA3F","green","green"
"SEMA3G","brown","brown"
"SEMA4A","pink","pink"
"SEMA4B","salmon","green"
"SEMA4C","turquoise","greenyellow"
"SEMA4D","blue","blue"
"SEMA4F","turquoise","greenyellow"
"SEMA4G","yellow","black"
"SEMA5A","brown","brown"
"SEMA5B","brown","brown"
"SEMA6A","brown","brown"
"SEMA6B","brown","brown"
"SEMA6C","turquoise","greenyellow"
"SEMA6D","brown","brown"
"SEMA7A","brown","brown"
"SENP1","turquoise","greenyellow"
"SENP2","pink","pink"
"SENP3","grey60","grey60"
"SENP5","pink","pink"
"SENP6","purple","greenyellow"
"SENP7","turquoise","greenyellow"
"SENP8","turquoise","greenyellow"
"SEPHS1","turquoise","greenyellow"
"SEPHS2","turquoise","greenyellow"
"SEPSECS","lightyellow","greenyellow"
"SERAC1","purple","greenyellow"
"SERBP1","turquoise","greenyellow"
"SERF2","turquoise","greenyellow"
"SERGEF","red","red"
"SERHL2","turquoise","greenyellow"
"SERINC1","purple","greenyellow"
"SERINC2","grey","grey"
"SERINC3","turquoise","greenyellow"
"SERINC5","turquoise","greenyellow"
"SERP1","pink","pink"
"SERP2","brown","brown"
"SERPINA1","yellow","black"
"SERPINA5","yellow","black"
"SERPINB1","green","green"
"SERPINB11","green","green"
"SERPINB12","green","green"
"SERPINB13","green","green"
"SERPINB2","green","green"
"SERPINB3","green","green"
"SERPINB4","green","green"
"SERPINB5","green","green"
"SERPINB6","yellow","black"
"SERPINB7","green","green"
"SERPINB8","green","green"
"SERPINB9","blue","blue"
"SERPINE1","green","green"
"SERPINE2","brown","brown"
"SERPINF1","brown","brown"
"SERPINF2","yellow","black"
"SERPING1","blue","blue"
"SERPINH1","brown","brown"
"SERPINI1","turquoise","greenyellow"
"SERTAD1","turquoise","greenyellow"
"SERTAD2","pink","pink"
"SERTAD3","lightcyan","lightcyan"
"SERTAD4","turquoise","greenyellow"
"SESN1","turquoise","greenyellow"
"SESN2","grey","grey"
"SESN3","turquoise","greenyellow"
"SESTD1","turquoise","greenyellow"
"SET","turquoise","greenyellow"
"SETBP1","turquoise","greenyellow"
"SETD1A","tan","tan"
"SETD2","magenta","magenta"
"SETD3","turquoise","greenyellow"
"SETD4","turquoise","greenyellow"
"SETD6","tan","tan"
"SETD7","turquoise","greenyellow"
"SETDB1","cyan","cyan"
"SETDB2","turquoise","greenyellow"
"SETMAR","magenta","magenta"
"SETX","turquoise","greenyellow"
"SEZ6L2","yellow","black"
"SF3A1","turquoise","greenyellow"
"SF3A2","midnightblue","midnightblue"
"SF3A3","turquoise","greenyellow"
"SF3B1","turquoise","greenyellow"
"SF3B3","tan","tan"
"SF3B4","cyan","cyan"
"SF3B5","red","red"
"SFI1","turquoise","greenyellow"
"SFMBT1","magenta","magenta"
"SFMBT2","blue","blue"
"SFN","green","green"
"SFPQ","turquoise","greenyellow"
"SFRP1","brown","brown"
"SFRP2","brown","brown"
"SFRP4","brown","brown"
"SFT2D1","red","red"
"SFT2D2","turquoise","greenyellow"
"SFTA2","yellow","black"
"SFTPD","purple","greenyellow"
"SFXN1","greenyellow","greenyellow"
"SFXN2","yellow","black"
"SFXN3","turquoise","greenyellow"
"SFXN4","red","red"
"SFXN5","turquoise","greenyellow"
"SGCB","turquoise","greenyellow"
"SGCD","brown","brown"
"SGCE","brown","brown"
"SGIP1","brown","brown"
"SGK1","green","green"
"SGK2","yellow","black"
"SGK3","turquoise","greenyellow"
"SGMS1","turquoise","greenyellow"
"SGMS2","turquoise","greenyellow"
"SGPL1","turquoise","greenyellow"
"SGPP1","blue","blue"
"SGPP2","turquoise","greenyellow"
"SGSH","turquoise","greenyellow"
"SGSM2","grey60","grey60"
"SGSM3","yellow","black"
"SGTA","midnightblue","midnightblue"
"SGTB","turquoise","greenyellow"
"SH2B1","turquoise","greenyellow"
"SH2B2","magenta","magenta"
"SH2B3","blue","blue"
"SH2D1A","blue","blue"
"SH2D1B","blue","blue"
"SH2D2A","blue","blue"
"SH2D3A","green","green"
"SH2D3C","blue","blue"
"SH2D4A","turquoise","greenyellow"
"SH3BGR","lightyellow","greenyellow"
"SH3BGRL","brown","brown"
"SH3BGRL2","yellow","black"
"SH3BGRL3","yellow","black"
"SH3BP1","green","green"
"SH3BP2","lightyellow","greenyellow"
"SH3BP4","darkred","darkred"
"SH3BP5","turquoise","greenyellow"
"SH3BP5L","cyan","cyan"
"SH3D19","turquoise","greenyellow"
"SH3GL1","midnightblue","midnightblue"
"SH3GL3","yellow","black"
"SH3GLB1","turquoise","greenyellow"
"SH3GLB2","turquoise","greenyellow"
"SH3KBP1","yellow","black"
"SH3PXD2A","turquoise","greenyellow"
"SH3PXD2B","turquoise","greenyellow"
"SH3RF1","turquoise","greenyellow"
"SH3RF2","green","green"
"SH3TC1","blue","blue"
"SH3YL1","turquoise","greenyellow"
"SHANK2","yellow","black"
"SHANK3","turquoise","greenyellow"
"SHARPIN","red","red"
"SHB","grey","grey"
"SHC1","turquoise","greenyellow"
"SHC3","brown","brown"
"SHCBP1","tan","tan"
"SHE","pink","pink"
"SHF","brown","brown"
"SHISA2","black","black"
"SHISA4","brown","brown"
"SHISA5","blue","blue"
"SHKBP1","lightcyan","lightcyan"
"SHMT1","black","black"
"SHMT2","turquoise","greenyellow"
"SHOC2","turquoise","greenyellow"
"SHOX2","pink","pink"
"SHPK","grey60","grey60"
"SHPRH","turquoise","greenyellow"
"SHQ1","magenta","magenta"
"SHROOM1","yellow","black"
"SHROOM2","turquoise","greenyellow"
"SHROOM3","yellow","black"
"SHROOM4","brown","brown"
"SIAE","lightgreen","lightgreen"
"SIAH1","turquoise","greenyellow"
"SIAH2","pink","pink"
"SIDT1","turquoise","greenyellow"
"SIDT2","lightgreen","lightgreen"
"SIGIRR","yellow","black"
"SIGLEC1","blue","blue"
"SIGLEC10","blue","blue"
"SIGLEC12","blue","blue"
"SIGLEC14","blue","blue"
"SIGLEC7","blue","blue"
"SIGLEC8","blue","blue"
"SIGLEC9","blue","blue"
"SIGMAR1","turquoise","greenyellow"
"SIK1","grey","grey"
"SIK2","lightgreen","lightgreen"
"SIK3","lightgreen","lightgreen"
"SIL1","red","red"
"SIM2","yellow","black"
"SIN3A","turquoise","greenyellow"
"SIN3B","turquoise","greenyellow"
"SIPA1","blue","blue"
"SIPA1L1","turquoise","greenyellow"
"SIPA1L2","turquoise","greenyellow"
"SIPA1L3","turquoise","greenyellow"
"SIRPA","blue","blue"
"SIRPB1","blue","blue"
"SIRPG","blue","blue"
"SIRT1","turquoise","greenyellow"
"SIRT2","lightcyan","lightcyan"
"SIRT3","red","red"
"SIRT4","turquoise","greenyellow"
"SIRT5","royalblue","royalblue"
"SIRT6","midnightblue","midnightblue"
"SIT1","blue","blue"
"SIVA1","red","red"
"SIX1","turquoise","greenyellow"
"SIX2","turquoise","greenyellow"
"SIX4","purple","greenyellow"
"SIX5","turquoise","greenyellow"
"SKA1","turquoise","greenyellow"
"SKA2","turquoise","greenyellow"
"SKAP1","yellow","black"
"SKAP2","turquoise","greenyellow"
"SKI","turquoise","greenyellow"
"SKIL","pink","pink"
"SKIV2L","royalblue","royalblue"
"SKP1","red","red"
"SKP2","turquoise","greenyellow"
"SLA","blue","blue"
"SLA2","blue","blue"
"SLAIN1","yellow","black"
"SLAIN2","salmon","green"
"SLAMF1","blue","blue"
"SLAMF6","blue","blue"
"SLAMF7","blue","blue"
"SLAMF8","blue","blue"
"SLAMF9","black","black"
"SLBP","lightyellow","greenyellow"
"SLC10A3","turquoise","greenyellow"
"SLC10A4","grey","grey"
"SLC10A5","yellow","black"
"SLC10A6","green","green"
"SLC10A7","turquoise","greenyellow"
"SLC11A1","blue","blue"
"SLC11A2","turquoise","greenyellow"
"SLC12A2","turquoise","greenyellow"
"SLC12A4","tan","tan"
"SLC12A6","salmon","green"
"SLC12A7","yellow","black"
"SLC12A8","pink","pink"
"SLC12A9","turquoise","greenyellow"
"SLC13A3","yellow","black"
"SLC13A4","turquoise","greenyellow"
"SLC15A1","blue","blue"
"SLC15A2","turquoise","greenyellow"
"SLC15A3","blue","blue"
"SLC15A4","turquoise","greenyellow"
"SLC16A1","yellow","black"
"SLC16A10","purple","greenyellow"
"SLC16A11","black","black"
"SLC16A13","turquoise","greenyellow"
"SLC16A14","turquoise","greenyellow"
"SLC16A2","turquoise","greenyellow"
"SLC16A3","yellow","black"
"SLC16A4","yellow","black"
"SLC16A5","yellow","black"
"SLC16A6","turquoise","greenyellow"
"SLC16A7","turquoise","greenyellow"
"SLC16A8","black","black"
"SLC16A9","blue","blue"
"SLC17A5","purple","greenyellow"
"SLC17A9","yellow","black"
"SLC19A1","green","green"
"SLC19A2","turquoise","greenyellow"
"SLC1A1","turquoise","greenyellow"
"SLC1A3","blue","blue"
"SLC1A4","purple","greenyellow"
"SLC1A5","grey","grey"
"SLC20A1","turquoise","greenyellow"
"SLC20A2","turquoise","greenyellow"
"SLC22A15","turquoise","greenyellow"
"SLC22A17","brown","brown"
"SLC22A18","yellow","black"
"SLC22A18AS","yellow","black"
"SLC22A23","turquoise","greenyellow"
"SLC22A3","black","black"
"SLC22A4","yellow","black"
"SLC22A5","greenyellow","greenyellow"
"SLC23A1","yellow","black"
"SLC23A2","turquoise","greenyellow"
"SLC23A3","darkred","darkred"
"SLC24A1","turquoise","greenyellow"
"SLC24A3","brown","brown"
"SLC25A1","red","red"
"SLC25A10","red","red"
"SLC25A11","grey60","grey60"
"SLC25A12","turquoise","greenyellow"
"SLC25A13","turquoise","greenyellow"
"SLC25A14","turquoise","greenyellow"
"SLC25A15","turquoise","greenyellow"
"SLC25A16","turquoise","greenyellow"
"SLC25A17","turquoise","greenyellow"
"SLC25A19","turquoise","greenyellow"
"SLC25A20","magenta","magenta"
"SLC25A22","red","red"
"SLC25A23","turquoise","greenyellow"
"SLC25A24","turquoise","greenyellow"
"SLC25A25","turquoise","greenyellow"
"SLC25A26","magenta","magenta"
"SLC25A27","turquoise","greenyellow"
"SLC25A28","green","green"
"SLC25A29","black","black"
"SLC25A30","turquoise","greenyellow"
"SLC25A32","turquoise","greenyellow"
"SLC25A33","purple","greenyellow"
"SLC25A34","turquoise","greenyellow"
"SLC25A35","black","black"
"SLC25A36","pink","pink"
"SLC25A37","turquoise","greenyellow"
"SLC25A38","magenta","magenta"
"SLC25A39","red","red"
"SLC25A4","midnightblue","midnightblue"
"SLC25A40","turquoise","greenyellow"
"SLC25A41","grey","grey"
"SLC25A42","turquoise","greenyellow"
"SLC25A43","salmon","green"
"SLC25A44","cyan","cyan"
"SLC25A45","yellow","black"
"SLC25A46","greenyellow","greenyellow"
"SLC25A5","turquoise","greenyellow"
"SLC25A6","red","red"
"SLC26A1","lightyellow","greenyellow"
"SLC26A11","turquoise","greenyellow"
"SLC26A2","turquoise","greenyellow"
"SLC26A6","magenta","magenta"
"SLC26A9","green","green"
"SLC27A1","black","black"
"SLC27A2","yellow","black"
"SLC27A3","cyan","cyan"
"SLC27A4","turquoise","greenyellow"
"SLC27A5","red","red"
"SLC28A3","green","green"
"SLC29A1","turquoise","greenyellow"
"SLC29A2","yellow","black"
"SLC29A3","blue","blue"
"SLC29A4","brown","brown"
"SLC2A1","green","green"
"SLC2A10","yellow","black"
"SLC2A11","black","black"
"SLC2A12","purple","greenyellow"
"SLC2A13","turquoise","greenyellow"
"SLC2A3","blue","blue"
"SLC2A4","brown","brown"
"SLC2A4RG","yellow","black"
"SLC2A5","blue","blue"
"SLC2A6","blue","blue"
"SLC2A8","midnightblue","midnightblue"
"SLC2A9","green","green"
"SLC30A1","turquoise","greenyellow"
"SLC30A4","turquoise","greenyellow"
"SLC30A5","greenyellow","greenyellow"
"SLC30A6","turquoise","greenyellow"
"SLC30A7","turquoise","greenyellow"
"SLC30A9","lightyellow","greenyellow"
"SLC31A1","turquoise","greenyellow"
"SLC31A2","salmon","green"
"SLC33A1","pink","pink"
"SLC34A2","yellow","black"
"SLC35A1","black","black"
"SLC35A2","turquoise","greenyellow"
"SLC35A3","turquoise","greenyellow"
"SLC35A4","greenyellow","greenyellow"
"SLC35A5","pink","pink"
"SLC35B1","red","red"
"SLC35B2","royalblue","royalblue"
"SLC35B3","turquoise","greenyellow"
"SLC35B4","turquoise","greenyellow"
"SLC35C1","yellow","black"
"SLC35C2","tan","tan"
"SLC35D1","turquoise","greenyellow"
"SLC35D2","purple","greenyellow"
"SLC35E1","turquoise","greenyellow"
"SLC35E3","turquoise","greenyellow"
"SLC35E4","blue","blue"
"SLC35F2","lightgreen","lightgreen"
"SLC35F5","turquoise","greenyellow"
"SLC36A1","turquoise","greenyellow"
"SLC36A4","lightgreen","lightgreen"
"SLC37A1","yellow","black"
"SLC37A2","green","green"
"SLC37A3","turquoise","greenyellow"
"SLC37A4","lightgreen","lightgreen"
"SLC38A1","turquoise","greenyellow"
"SLC38A10","yellow","black"
"SLC38A2","salmon","green"
"SLC38A4","turquoise","greenyellow"
"SLC38A5","grey","grey"
"SLC38A6","turquoise","greenyellow"
"SLC38A7","tan","tan"
"SLC38A9","greenyellow","greenyellow"
"SLC39A1","turquoise","greenyellow"
"SLC39A10","turquoise","greenyellow"
"SLC39A11","turquoise","greenyellow"
"SLC39A13","brown","brown"
"SLC39A14","brown","brown"
"SLC39A2","green","green"
"SLC39A3","midnightblue","midnightblue"
"SLC39A4","blue","blue"
"SLC39A6","turquoise","greenyellow"
"SLC39A7","royalblue","royalblue"
"SLC39A8","yellow","black"
"SLC39A9","turquoise","greenyellow"
"SLC3A2","turquoise","greenyellow"
"SLC40A1","yellow","black"
"SLC41A1","turquoise","greenyellow"
"SLC41A2","yellow","black"
"SLC41A3","turquoise","greenyellow"
"SLC43A1","yellow","black"
"SLC43A2","yellow","black"
"SLC43A3","grey","grey"
"SLC44A1","turquoise","greenyellow"
"SLC44A2","turquoise","greenyellow"
"SLC44A3","yellow","black"
"SLC44A4","yellow","black"
"SLC44A5","grey","grey"
"SLC45A1","brown","brown"
"SLC45A3","yellow","black"
"SLC45A4","turquoise","greenyellow"
"SLC46A1","turquoise","greenyellow"
"SLC46A3","brown","brown"
"SLC47A1","brown","brown"
"SLC47A2","turquoise","greenyellow"
"SLC48A1","turquoise","greenyellow"
"SLC4A11","yellow","black"
"SLC4A1AP","turquoise","greenyellow"
"SLC4A2","turquoise","greenyellow"
"SLC4A3","brown","brown"
"SLC4A7","magenta","magenta"
"SLC5A1","yellow","black"
"SLC5A3","turquoise","greenyellow"
"SLC5A5","yellow","black"
"SLC5A6","turquoise","greenyellow"
"SLC6A11","green","green"
"SLC6A12","blue","blue"
"SLC6A14","yellow","black"
"SLC6A16","black","black"
"SLC6A17","grey","grey"
"SLC6A2","salmon","green"
"SLC6A6","turquoise","greenyellow"
"SLC6A8","green","green"
"SLC6A9","salmon","green"
"SLC7A1","turquoise","greenyellow"
"SLC7A11","turquoise","greenyellow"
"SLC7A2","yellow","black"
"SLC7A4","grey","grey"
"SLC7A5","turquoise","greenyellow"
"SLC7A6","turquoise","greenyellow"
"SLC7A6OS","tan","tan"
"SLC7A7","blue","blue"
"SLC7A8","turquoise","greenyellow"
"SLC8A1","blue","blue"
"SLC8A2","yellow","black"
"SLC9A1","turquoise","greenyellow"
"SLC9A2","yellow","black"
"SLC9A3","turquoise","greenyellow"
"SLC9A3R1","green","green"
"SLC9A3R2","yellow","black"
"SLC9A5","tan","tan"
"SLC9A6","turquoise","greenyellow"
"SLC9A7","turquoise","greenyellow"
"SLC9A8","turquoise","greenyellow"
"SLC9A9","green","green"
"SLCO2A1","brown","brown"
"SLCO2B1","blue","blue"
"SLCO3A1","turquoise","greenyellow"
"SLCO4A1","yellow","black"
"SLFN11","black","black"
"SLFN12","turquoise","greenyellow"
"SLFN13","yellow","black"
"SLFN5","turquoise","greenyellow"
"SLIT2","brown","brown"
"SLIT3","brown","brown"
"SLITRK6","turquoise","greenyellow"
"SLK","salmon","green"
"SLMAP","magenta","magenta"
"SLPI","yellow","black"
"SLTM","turquoise","greenyellow"
"SLU7","greenyellow","greenyellow"
"SLURP1","green","green"
"SMAD1","turquoise","greenyellow"
"SMAD2","turquoise","greenyellow"
"SMAD3","salmon","green"
"SMAD4","turquoise","greenyellow"
"SMAD5","greenyellow","greenyellow"
"SMAD6","turquoise","greenyellow"
"SMAD7","turquoise","greenyellow"
"SMAD9","turquoise","greenyellow"
"SMAGP","turquoise","greenyellow"
"SMAP1","purple","greenyellow"
"SMAP2","blue","blue"
"SMARCA1","turquoise","greenyellow"
"SMARCA2","turquoise","greenyellow"
"SMARCA4","turquoise","greenyellow"
"SMARCA5","turquoise","greenyellow"
"SMARCAD1","turquoise","greenyellow"
"SMARCAL1","darkred","darkred"
"SMARCB1","turquoise","greenyellow"
"SMARCC1","magenta","magenta"
"SMARCC2","turquoise","greenyellow"
"SMARCD1","turquoise","greenyellow"
"SMARCD2","turquoise","greenyellow"
"SMARCD3","brown","brown"
"SMARCE1","turquoise","greenyellow"
"SMC1A","turquoise","greenyellow"
"SMC1B","pink","pink"
"SMC2","turquoise","greenyellow"
"SMC3","turquoise","greenyellow"
"SMC4","pink","pink"
"SMC5","turquoise","greenyellow"
"SMC6","turquoise","greenyellow"
"SMCR8","grey60","grey60"
"SMG1","turquoise","greenyellow"
"SMG5","cyan","cyan"
"SMG6","turquoise","greenyellow"
"SMG7","turquoise","greenyellow"
"SMN1","greenyellow","greenyellow"
"SMN2","turquoise","greenyellow"
"SMNDC1","turquoise","greenyellow"
"SMO","brown","brown"
"SMOC1","yellow","black"
"SMOC2","brown","brown"
"SMOX","blue","blue"
"SMPD1","black","black"
"SMPD2","red","red"
"SMPD3","yellow","black"
"SMPD4","turquoise","greenyellow"
"SMPDL3A","turquoise","greenyellow"
"SMPDL3B","yellow","black"
"SMS","purple","greenyellow"
"SMTN","tan","tan"
"SMU1","turquoise","greenyellow"
"SMUG1","red","red"
"SMURF1","turquoise","greenyellow"
"SMURF2","turquoise","greenyellow"
"SMYD2","turquoise","greenyellow"
"SMYD3","green","green"
"SMYD4","grey60","grey60"
"SMYD5","turquoise","greenyellow"
"SNAI1","brown","brown"
"SNAI2","green","green"
"SNAI3","blue","blue"
"SNAP23","turquoise","greenyellow"
"SNAP25","green","green"
"SNAP47","cyan","cyan"
"SNAPC1","turquoise","greenyellow"
"SNAPC2","midnightblue","midnightblue"
"SNAPC3","turquoise","greenyellow"
"SNAPC4","turquoise","greenyellow"
"SNAPC5","turquoise","greenyellow"
"SNAPIN","cyan","cyan"
"SNCA","turquoise","greenyellow"
"SNCAIP","brown","brown"
"SNCG","yellow","black"
"SND1","turquoise","greenyellow"
"SNF8","red","red"
"SNIP1","turquoise","greenyellow"
"SNN","turquoise","greenyellow"
"SNPH","brown","brown"
"SNRK","turquoise","greenyellow"
"SNRNP200","turquoise","greenyellow"
"SNRNP25","red","red"
"SNRNP27","turquoise","greenyellow"
"SNRNP35","red","red"
"SNRNP40","turquoise","greenyellow"
"SNRNP48","turquoise","greenyellow"
"SNRNP70","lightcyan","lightcyan"
"SNRPA","red","red"
"SNRPA1","turquoise","greenyellow"
"SNRPB","red","red"
"SNRPB2","tan","tan"
"SNRPC","red","red"
"SNRPD1","red","red"
"SNRPD2","lightcyan","lightcyan"
"SNRPD3","red","red"
"SNRPE","red","red"
"SNRPF","red","red"
"SNRPG","red","red"
"SNRPN","brown","brown"
"SNTA1","tan","tan"
"SNTB1","yellow","black"
"SNTB2","turquoise","greenyellow"
"SNUPN","turquoise","greenyellow"
"SNURF","brown","brown"
"SNW1","turquoise","greenyellow"
"SNX1","turquoise","greenyellow"
"SNX10","blue","blue"
"SNX12","turquoise","greenyellow"
"SNX13","turquoise","greenyellow"
"SNX14","red","red"
"SNX16","turquoise","greenyellow"
"SNX17","turquoise","greenyellow"
"SNX18","turquoise","greenyellow"
"SNX19","lightgreen","lightgreen"
"SNX2","greenyellow","greenyellow"
"SNX20","blue","blue"
"SNX21","tan","tan"
"SNX22","blue","blue"
"SNX24","greenyellow","greenyellow"
"SNX25","turquoise","greenyellow"
"SNX27","cyan","cyan"
"SNX3","purple","greenyellow"
"SNX33","salmon","green"
"SNX4","pink","pink"
"SNX5","turquoise","greenyellow"
"SNX6","turquoise","greenyellow"
"SNX7","turquoise","greenyellow"
"SNX8","turquoise","greenyellow"
"SNX9","purple","greenyellow"
"SOAT1","turquoise","greenyellow"
"SOBP","brown","brown"
"SOCS1","blue","blue"
"SOCS2","turquoise","greenyellow"
"SOCS3","grey","grey"
"SOCS4","turquoise","greenyellow"
"SOCS5","turquoise","greenyellow"
"SOCS6","turquoise","greenyellow"
"SOCS7","turquoise","greenyellow"
"SOD1","red","red"
"SOD2","blue","blue"
"SOD3","brown","brown"
"SON","turquoise","greenyellow"
"SORBS1","brown","brown"
"SORBS2","yellow","black"
"SORBS3","tan","tan"
"SORCS2","brown","brown"
"SORD","turquoise","greenyellow"
"SORL1","turquoise","greenyellow"
"SORT1","turquoise","greenyellow"
"SOS1","turquoise","greenyellow"
"SOS2","turquoise","greenyellow"
"SOX12","tan","tan"
"SOX13","turquoise","greenyellow"
"SOX15","green","green"
"SOX17","brown","brown"
"SOX18","blue","blue"
"SOX2","pink","pink"
"SOX21","pink","pink"
"SOX30","turquoise","greenyellow"
"SOX4","purple","greenyellow"
"SOX6","turquoise","greenyellow"
"SOX7","green","green"
"SOX9","yellow","black"
"SP1","turquoise","greenyellow"
"SP100","blue","blue"
"SP110","blue","blue"
"SP140","blue","blue"
"SP140L","blue","blue"
"SP2","turquoise","greenyellow"
"SP3","turquoise","greenyellow"
"SP4","turquoise","greenyellow"
"SP5","green","green"
"SP6","grey","grey"
"SPA17","black","black"
"SPACA4","yellow","black"
"SPAG1","turquoise","greenyellow"
"SPAG16","black","black"
