"","dynamicColors","mergedColors"
"CCDC110","black","black"
"CCDC112","greenyellow","greenyellow"
"CCDC113","black","black"
"CCDC114","black","black"
"CCDC115","turquoise","greenyellow"
"CCDC117","turquoise","greenyellow"
"CCDC12","turquoise","greenyellow"
"CCDC120","turquoise","greenyellow"
"CCDC121","turquoise","greenyellow"
"CCDC122","turquoise","greenyellow"
"CCDC124","midnightblue","midnightblue"
"CCDC125","greenyellow","greenyellow"
"CCDC126","turquoise","greenyellow"
"CCDC127","turquoise","greenyellow"
"CCDC130","midnightblue","midnightblue"
"CCDC134","turquoise","greenyellow"
"CCDC136","turquoise","greenyellow"
"CCDC138","turquoise","greenyellow"
"CCDC14","turquoise","greenyellow"
"CCDC142","turquoise","greenyellow"
"CCDC146","turquoise","greenyellow"
"CCDC149","yellow","black"
"CCDC15","turquoise","greenyellow"
"CCDC150","turquoise","greenyellow"
"CCDC151","black","black"
"CCDC152","grey","grey"
"CCDC153","black","black"
"CCDC17","black","black"
"CCDC18","turquoise","greenyellow"
"CCDC22","midnightblue","midnightblue"
"CCDC24","black","black"
"CCDC25","turquoise","greenyellow"
"CCDC28A","red","red"
"CCDC28B","black","black"
"CCDC3","brown","brown"
"CCDC34","purple","greenyellow"
"CCDC39","turquoise","greenyellow"
"CCDC43","turquoise","greenyellow"
"CCDC47","turquoise","greenyellow"
"CCDC50","pink","pink"
"CCDC51","magenta","magenta"
"CCDC57","black","black"
"CCDC58","pink","pink"
"CCDC59","turquoise","greenyellow"
"CCDC6","turquoise","greenyellow"
"CCDC60","yellow","black"
"CCDC61","lightcyan","lightcyan"
"CCDC65","black","black"
"CCDC66","magenta","magenta"
"CCDC68","yellow","black"
"CCDC69","blue","blue"
"CCDC71","magenta","magenta"
"CCDC74A","black","black"
"CCDC74B","black","black"
"CCDC77","turquoise","greenyellow"
"CCDC78","black","black"
"CCDC8","brown","brown"
"CCDC80","brown","brown"
